,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2,91,41,84,141,57,9,149,45,19,143,170,330,158,72,9,14,189
3,104,50,106,209,66,10,207,32,23,158,223,635,220,73,14,9,188
4,93,41,82,159,63,9,144,46,19,143,160,309,127,63,6,10,199
5,85,44,70,205,103,52,149,45,19,144,241,325,188,127,9,11,180
6,107,57,106,172,50,6,255,26,28,169,280,957,264,85,5,9,181
7,97,43,73,173,65,6,153,42,19,143,176,361,172,66,13,1,200
8,90,43,66,157,65,9,137,48,18,146,162,281,164,67,3,3,193
9,86,34,62,140,61,7,122,54,17,127,141,223,112,64,2,14,200
10,93,44,98,197,62,11,183,36,22,146,202,505,152,64,4,14,195
11,86,36,70,143,61,9,133,50,18,130,153,266,127,66,2,10,194
12,90,34,66,136,55,6,123,54,17,118,148,224,118,65,5,26,196
13,88,46,74,171,68,6,152,43,19,148,180,349,192,71,5,11,189
14,89,42,85,144,58,10,152,44,19,144,173,345,161,72,8,13,187
15,94,49,79,203,71,5,174,37,21,154,196,465,206,71,6,2,197
16,96,55,103,201,65,9,204,32,23,166,227,624,246,74,6,2,186
17,89,36,51,109,52,6,118,57,17,129,137,206,125,80,2,14,181
18,99,41,77,197,69,6,177,36,21,139,202,485,151,72,4,10,198
19,104,54,100,186,61,10,216,31,24,173,225,686,220,74,5,11,185
20,101,56,100,215,69,10,208,32,24,169,227,651,223,74,6,5,186
21,84,47,75,153,64,6,154,43,19,145,175,354,184,75,0,3,185
22,84,37,53,121,59,5,123,55,17,125,141,221,133,82,7,1,179
23,94,43,64,173,69,7,150,43,19,142,169,344,177,68,9,1,199
24,87,39,70,148,61,7,143,46,18,136,164,307,141,69,1,2,192
25,99,53,105,219,66,11,204,32,23,165,221,623,224,68,0,6,191
26,85,45,80,154,64,9,147,45,19,148,169,324,174,71,1,4,188
27,83,36,54,119,57,6,128,53,18,125,143,238,139,82,6,3,179
28,107,54,98,203,65,11,218,31,25,167,229,696,216,72,1,28,187
29,102,45,85,193,64,6,192,33,22,146,217,570,163,76,6,7,195
30,80,38,63,129,55,7,146,46,19,130,168,314,158,83,9,20,180
31,89,43,85,160,64,11,155,43,19,151,173,356,174,72,5,9,185
32,88,42,77,151,58,8,140,47,18,142,165,293,158,64,10,11,198
33,93,35,66,154,59,6,142,46,18,128,162,304,120,64,5,13,197
34,101,48,107,222,68,10,208,32,24,154,232,641,204,70,5,38,190
35,87,38,85,177,61,8,164,40,20,129,186,402,130,63,1,25,198
36,100,46,90,172,67,9,157,43,20,150,170,363,184,67,17,7,192
37,82,44,72,118,52,7,152,44,19,147,174,340,177,82,2,2,180
38,90,48,86,306,126,49,153,44,19,156,272,346,200,118,0,15,185
39,106,53,98,176,54,10,216,31,24,171,235,691,218,74,1,9,187
40,81,45,68,169,73,6,151,44,19,146,173,336,186,75,7,0,183
41,95,48,104,214,67,9,205,32,23,151,227,628,202,74,5,9,186
42,88,37,51,105,52,5,119,57,17,128,135,207,125,86,8,16,179
43,94,49,87,137,54,11,158,43,20,162,178,366,186,75,5,5,183
44,93,37,76,183,63,8,164,40,20,134,191,405,139,67,4,7,192
45,119,54,106,220,65,12,213,31,24,167,223,675,232,66,20,1,192
46,93,46,82,145,58,11,159,43,20,160,180,371,189,77,2,4,183
47,91,43,70,133,55,8,130,51,18,146,159,253,156,70,1,8,190
48,85,42,66,122,54,6,148,46,19,141,172,317,174,88,6,14,180
49,89,47,81,147,64,11,156,44,20,163,170,352,188,76,6,13,184
50,91,45,79,176,59,9,163,40,20,148,184,404,179,62,0,10,199
51,78,38,63,115,51,6,142,47,19,130,162,299,146,77,2,4,181
52,92,38,71,174,66,7,154,43,19,133,181,355,130,70,4,24,189
53,98,55,101,228,70,9,210,31,24,168,236,661,245,72,1,6,188
54,101,42,62,175,67,6,149,43,19,139,169,341,165,65,7,11,202
55,101,56,104,185,53,6,257,26,28,168,275,956,230,83,5,26,180
56,94,36,66,151,61,8,133,50,18,135,154,265,119,62,9,3,201
57,97,44,96,195,63,9,185,36,22,144,202,512,165,66,4,8,191
58,89,47,84,133,55,11,157,44,20,160,169,354,176,74,5,9,182
59,107,53,103,221,66,11,209,32,24,163,222,653,212,66,0,1,191
60,85,39,68,119,52,5,128,53,18,135,148,241,142,75,8,8,182
61,103,50,98,212,63,9,193,34,22,161,214,567,185,64,5,5,198
62,77,38,63,135,59,5,130,52,18,130,145,247,139,79,13,21,183
63,96,40,70,120,50,8,137,50,18,141,162,269,139,80,10,13,183
64,83,42,66,156,67,7,150,45,19,144,174,333,159,78,4,2,182
65,93,45,86,201,69,7,184,35,22,145,203,523,183,72,0,4,194
66,89,41,75,143,56,7,146,46,19,137,170,317,156,76,18,5,184
67,81,43,68,125,57,8,149,46,19,146,169,323,172,83,6,18,179
68,98,55,101,219,69,11,225,30,25,178,231,748,216,74,6,14,187
69,86,44,78,164,68,9,142,46,18,147,168,305,171,70,1,11,190
70,98,49,84,219,74,7,190,34,22,154,208,558,209,74,4,7,195
71,96,55,98,161,54,10,215,31,24,175,226,683,221,76,3,6,185
72,97,59,108,227,70,11,224,30,25,186,225,732,218,70,10,25,186
73,92,39,91,191,62,8,176,37,21,137,196,466,151,67,3,23,192
74,73,37,53,111,54,6,126,55,18,128,135,227,147,82,1,15,176
75,89,42,89,147,61,11,151,44,19,145,170,338,163,72,11,23,187
76,101,53,103,203,63,9,195,34,22,162,210,571,210,68,5,5,191
77,91,39,83,170,60,8,172,38,21,134,197,445,152,72,0,10,188
78,86,40,62,140,62,7,150,45,19,133,165,330,173,82,2,3,180
79,104,52,94,208,66,5,208,31,24,161,227,666,218,76,11,4,193
80,89,44,68,113,50,7,150,45,19,147,171,328,189,88,6,5,179
81,87,46,71,159,66,6,151,44,19,146,175,343,189,73,2,0,186
82,99,51,92,203,65,5,209,31,24,159,232,671,214,78,5,11,191
83,94,36,68,127,54,7,127,52,18,132,155,242,116,66,1,2,195
84,79,40,80,133,55,7,147,47,19,135,172,311,144,76,8,30,181
85,89,40,76,188,76,7,150,44,19,136,174,342,148,72,3,8,193
86,110,58,106,180,51,6,261,26,28,171,278,998,257,83,9,13,181
87,89,41,84,141,58,9,149,45,19,145,172,330,162,72,4,18,188
88,86,37,60,115,54,5,119,56,17,132,141,209,129,72,2,8,186
89,91,42,84,209,75,6,171,38,20,138,189,446,161,69,3,12,196
90,80,37,57,116,55,6,125,54,18,125,142,229,132,81,8,5,178
91,104,55,107,222,68,11,218,31,24,173,232,703,229,71,3,10,188
92,94,38,84,158,55,9,169,39,20,130,196,430,155,69,9,15,190
93,104,52,100,191,59,9,197,33,23,158,218,583,234,70,10,10,191
94,94,48,87,162,64,10,157,43,20,161,179,363,186,75,4,15,184
95,84,45,66,154,65,6,145,46,19,144,168,312,177,73,2,3,184
96,97,50,108,211,65,10,214,31,24,156,232,683,218,72,7,29,188
97,89,42,80,151,62,6,144,46,19,139,166,308,170,74,17,13,185
98,86,43,68,152,62,7,150,44,19,142,179,337,164,75,4,9,188
99,95,46,105,219,68,9,201,33,23,148,223,602,201,69,5,38,191
100,87,44,65,124,56,6,149,46,19,144,170,321,171,87,4,12,179
101,82,45,66,252,126,52,148,45,19,144,237,326,185,119,1,1,181
102,95,42,85,174,66,9,153,44,19,144,168,347,150,65,11,5,196
103,94,42,68,150,64,7,128,52,18,143,154,246,159,69,14,5,192
104,92,38,60,130,62,5,114,58,17,132,135,194,137,72,14,5,190
105,102,45,83,198,65,5,194,33,22,146,225,576,167,79,0,27,193
106,108,53,103,202,64,10,220,30,25,168,224,711,214,73,11,10,188
107,99,46,105,209,64,11,197,34,23,152,212,575,159,65,0,33,194
108,85,39,77,151,59,8,150,45,19,134,176,331,133,73,0,16,184
109,80,44,68,135,59,8,150,45,19,145,170,329,173,80,7,12,180
110,99,48,79,199,68,6,185,35,22,153,202,524,171,74,5,8,195
111,89,40,77,159,65,9,144,46,19,141,168,314,143,70,0,5,190
112,94,48,83,162,64,10,156,43,19,153,177,357,187,74,4,14,185
113,77,38,75,144,59,6,147,46,19,132,167,315,136,80,16,20,181
114,88,35,50,121,58,5,114,59,17,122,132,192,138,74,21,4,182
115,93,43,85,133,54,10,155,44,19,153,174,351,165,75,12,13,184
116,95,47,88,162,64,11,159,43,20,157,176,371,185,71,12,13,189
117,100,45,100,209,65,8,201,32,23,147,231,611,189,72,5,5,189
118,109,53,109,221,69,12,221,31,25,169,226,712,212,72,13,28,188
119,85,43,64,128,56,8,150,46,19,144,168,324,173,82,9,14,180
