,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,218,178,9,0.111111,0,0.833333,0.547722,1.11111,0.544331,59.6296,52.4444,75.2222,51.2222,-21.5556,46.7778,-25.2222,75.2222,0.318996,-2.04055
2,113,130,9,0,0,0.277778,0.250924,0.333333,0.365148,0.888889,0,2.55556,0.111111,-2.66667,5,-2.33333,2.55556,1,-2.12325
3,202,41,9,0,0,0.944448,0.772202,1.11111,1.0256,123.037,111.889,139.778,117.444,-33.4444,50.2222,-16.7778,139.778,0.199347,-2.29992
4,32,173,9,0,0,1.72222,1.78159,9,6.74949,43.5926,39.5556,52.8889,38.3333,-12.1111,27.8889,-15.7778,52.8889,0.266914,-1.99886
5,61,197,9,0,0,1.44444,1.51535,2.61111,1.92546,49.5926,44.2222,61.5556,43,-16.1111,35.8889,-19.7778,61.5556,0.302925,-2.02227
6,149,185,9,0,0,1.55556,1.06805,3.05556,1.92546,49.3333,45.3333,59.5556,43.1111,-12,30.6667,-18.6667,59.5556,0.275889,-1.95277
7,197,229,9,0,0,1.38889,1.57407,1.16667,0.566666,17.7407,14.1111,17.8889,21.2222,-10.8889,0.444444,10.4444,21.2222,0.335717,2.6516
8,29,111,9,0,0,0.388889,0.240741,0.611111,0.151852,5.40741,6.88889,6.33333,3,4.44444,2.77778,-7.22222,6.88889,0.564153,-0.897859
9,1,81,9,0,0,12.1667,267.456,9.22222,205.363,21.3333,14,30.5556,19.4444,-22,27.6667,-5.66667,30.5556,0.595282,-2.43841
10,69,85,9,0.111111,0,3.11111,8.20741,3.94444,9.44074,21.4444,20.4444,28.1111,15.7778,-3,20,-17,28.1111,0.437404,-1.65988
11,152,83,9,0,0,4.44444,1.32777,0.944444,0.680414,26.5185,23.3333,33.2222,23,-9.55556,20.1111,-10.5556,33.2222,0.307415,-2.06324
12,248,153,9,0,0,0.277778,0.062963,0.111111,0.0296296,0.37037,0,1.11111,0,-1.11111,2.22222,-1.11111,1.11111,0.888889,-2.0944
13,137,141,9,0,0,0.0555556,0.136083,0.0555556,0.136083,0.037037,0,0.111111,0,-0.111111,0.222222,-0.111111,0.111111,0.111111,-2.0944
14,86,197,9,0.111111,0.111111,1.61111,1.45169,1.27778,1.10386,63.2222,56.2222,77.7778,55.6667,-21,43.6667,-22.6667,77.7778,0.285333,-2.06802
15,220,220,9,0.111111,0,2.27778,1.12963,2.27778,4.15185,6.44444,5.66667,5.33333,8.33333,-2.33333,-3.33333,5.66667,8.33333,0.427354,1.98437
16,207,115,9,0,0,1.05556,0.32963,0.166667,0.0333333,1.22222,0.444444,2.88889,0.333333,-2.33333,5,-2.66667,2.88889,0.933333,-2.06554
17,6,51,9,0,0,1.66667,2,1.61111,2.10741,19.5926,18.7778,25.6667,14.3333,-2.44444,18.2222,-15.7778,25.6667,0.442861,-1.68129
18,203,182,9,0,0,3.72222,2.57696,3.61111,1.70511,54.9259,49.4444,68.1111,47.2222,-16.4444,39.5556,-23.1111,68.1111,0.306722,-1.98035
19,243,120,9,0,0,4.44444,4.35975,1.55555,1.83384,47.8519,44.7778,56.3333,42.4444,-9.22222,25.4444,-16.2222,56.3333,0.245321,-1.91073
20,146,97,9,0,0,10.1111,4.5979,0.611111,0.574133,47.963,46,54.3333,43.5556,-5.88889,19.1111,-13.2222,54.3333,0.197115,-1.84074
